severity,bounding_box_percentage,road_type,traffic_density,rainfall_probability,temperature_celsius,season,days_until_critical
2,19.7,0,0,53,26.0,2,8
2,12.89,0,2,5,31.7,1,9
2,17.57,2,0,94,29.9,2,2
0,2.71,0,2,9,31.7,1,25
1,4.45,0,0,54,33.8,1,19
1,4.18,2,0,18,42.1,1,24
2,31.73,1,2,2,17.3,0,5
0,3.45,0,1,53,34.2,1,15
1,7.0,1,0,34,32.5,2,19
0,6.93,1,1,40,39.7,1,29
0,1.99,2,1,2,19.3,0,30
2,30.35,2,1,25,20.4,0,7
2,15.91,1,0,47,37.5,1,9
2,39.93,1,1,8,15.1,0,9
0,4.58,0,0,43,13.9,0,33
1,15.91,2,1,26,33.5,2,13
0,5.5,2,2,21,29.9,1,14
2,33.33,2,1,89,36.8,2,2
2,29.05,1,2,44,29.2,2,2
2,25.68,0,2,7,43.8,1,9
1,16.17,0,0,5,9.2,0,22
2,25.31,0,0,95,26.3,2,2
2,38.01,2,1,44,10.8,0,2
2,24.64,1,1,56,27.1,2,7
1,6.45,0,2,53,24.1,2,7
0,3.84,0,1,17,17.4,0,28
0,6.58,2,0,98,32.1,2,19
1,12.88,0,0,22,13.9,0,26
1,12.8,2,0,37,24.8,2,14
0,3.99,0,0,8,13.9,0,29
1,9.65,1,0,35,9.4,0,20
0,3.14,0,0,30,11.0,0,29
1,3.03,0,0,24,32.5,1,24
1,12.93,2,2,87,26.2,2,2
1,14.04,0,0,32,34.5,2,19
2,38.9,2,0,5,19.9,0,11
0,6.1,2,0,76,25.7,2,23
2,23.74,0,2,37,15.9,0,2
1,13.74,1,0,55,27.7,2,16
1,9.87,1,0,36,21.9,0,25
0,2.22,2,0,69,36.3,2,25
0,2.47,1,2,92,24.1,2,10
2,38.29,1,2,8,11.7,0,5
0,1.87,1,1,68,26.9,2,16
2,19.03,1,2,54,28.9,1,2
0,4.64,0,1,16,10.3,0,25
1,11.41,2,2,7,29.3,1,14
2,27.47,0,1,80,25.8,2,2
1,6.15,1,0,15,39.3,1,21
1,16.89,2,2,15,20.1,0,12
0,5.29,1,0,21,19.0,0,29
2,34.05,0,1,6,13.4,0,9
0,5.81,1,0,29,12.9,0,34
0,3.09,0,2,17,20.1,0,20
1,9.0,1,2,93,28.6,2,9
1,3.57,0,2,38,35.4,1,14
2,39.56,1,1,39,29.4,2,2
2,37.92,1,0,93,33.6,2,2
2,22.2,2,2,4,21.3,0,5
2,26.2,0,2,42,34.9,1,2
1,4.91,2,1,78,33.3,2,5
0,3.14,2,2,53,28.0,1,18
1,12.1,0,1,66,30.5,2,6
1,4.27,2,0,90,33.3,2,13
2,30.84,1,0,14,19.3,0,11
1,9.22,2,0,40,37.8,1,20
2,23.19,2,1,9,39.2,1,12
0,5.73,1,0,44,15.3,0,30
0,3.47,2,0,29,17.3,0,36
1,9.4,2,2,95,30.2,2,2
0,2.18,2,1,15,42.3,1,27
1,9.6,2,0,45,32.9,1,24
1,4.21,1,1,44,27.2,2,11
0,4.03,1,1,26,29.1,1,22
1,3.29,1,2,98,29.3,2,6
1,14.02,1,2,53,30.8,2,5
1,8.83,1,1,42,17.5,0,16
1,3.4,0,2,75,32.3,2,7
2,24.0,0,0,84,26.5,2,2
1,7.17,1,1,53,35.2,1,18
0,4.01,1,0,69,27.1,2,29
0,5.95,0,0,39,10.1,0,34
0,4.17,1,2,13,14.5,0,26
2,15.21,2,2,45,37.5,2,2
0,4.24,2,0,24,34.7,1,30
2,31.52,2,0,19,19.9,0,9
