segment_id,city,area,road_type,month,report_count
SEG-001,Lahore,Gulberg,Highway,2025-09-01,14
SEG-001,Lahore,Gulberg,Highway,2025-10-01,13
SEG-001,Lahore,Gulberg,Highway,2025-11-01,17
SEG-001,Lahore,Gulberg,Highway,2025-12-01,18
SEG-001,Lahore,Gulberg,Highway,2026-01-01,20
SEG-001,Lahore,Gulberg,Highway,2026-02-01,21
SEG-001,Lahore,Gulberg,Highway,2026-03-01,23
SEG-001,Lahore,Gulberg,Highway,2026-04-01,26
SEG-001,Lahore,Gulberg,Highway,2026-05-01,27
SEG-001,Lahore,Gulberg,Highway,2026-06-01,27
SEG-001,Lahore,Gulberg,Highway,2026-07-01,27
SEG-001,Lahore,Gulberg,Highway,2026-08-01,28
SEG-002,Lahore,DHA,Service Road,2025-09-01,28
SEG-002,Lahore,DHA,Service Road,2025-10-01,10
SEG-002,Lahore,DHA,Service Road,2025-11-01,9
SEG-002,Lahore,DHA,Service Road,2025-12-01,8
SEG-002,Lahore,DHA,Service Road,2026-01-01,12
SEG-002,Lahore,DHA,Service Road,2026-02-01,13
SEG-002,Lahore,DHA,Service Road,2026-03-01,9
SEG-002,Lahore,DHA,Service Road,2026-04-01,10
SEG-002,Lahore,DHA,Service Road,2026-05-01,12
SEG-002,Lahore,DHA,Service Road,2026-06-01,27
SEG-002,Lahore,DHA,Service Road,2026-07-01,24
SEG-002,Lahore,DHA,Service Road,2026-08-01,24
SEG-003,Lahore,Johar Town,Simple Road,2025-09-01,3
SEG-003,Lahore,Johar Town,Simple Road,2025-10-01,4
SEG-003,Lahore,Johar Town,Simple Road,2025-11-01,3
SEG-003,Lahore,Johar Town,Simple Road,2025-12-01,3
SEG-003,Lahore,Johar Town,Simple Road,2026-01-01,3
SEG-003,Lahore,Johar Town,Simple Road,2026-02-01,4
SEG-003,Lahore,Johar Town,Simple Road,2026-03-01,5
SEG-003,Lahore,Johar Town,Simple Road,2026-04-01,4
SEG-003,Lahore,Johar Town,Simple Road,2026-05-01,4
SEG-003,Lahore,Johar Town,Simple Road,2026-06-01,4
SEG-003,Lahore,Johar Town,Simple Road,2026-07-01,4
SEG-003,Lahore,Johar Town,Simple Road,2026-08-01,4
SEG-004,Lahore,Model Town,Highway,2025-09-01,38
SEG-004,Lahore,Model Town,Highway,2025-10-01,18
SEG-004,Lahore,Model Town,Highway,2025-11-01,17
SEG-004,Lahore,Model Town,Highway,2025-12-01,20
SEG-004,Lahore,Model Town,Highway,2026-01-01,16
SEG-004,Lahore,Model Town,Highway,2026-02-01,15
SEG-004,Lahore,Model Town,Highway,2026-03-01,18
SEG-004,Lahore,Model Town,Highway,2026-04-01,19
SEG-004,Lahore,Model Town,Highway,2026-05-01,18
SEG-004,Lahore,Model Town,Highway,2026-06-01,40
SEG-004,Lahore,Model Town,Highway,2026-07-01,41
SEG-004,Lahore,Model Town,Highway,2026-08-01,39
SEG-005,Lahore,Township,Simple Road,2025-09-01,7
SEG-005,Lahore,Township,Simple Road,2025-10-01,9
SEG-005,Lahore,Township,Simple Road,2025-11-01,9
SEG-005,Lahore,Township,Simple Road,2025-12-01,13
SEG-005,Lahore,Township,Simple Road,2026-01-01,14
SEG-005,Lahore,Township,Simple Road,2026-02-01,18
SEG-005,Lahore,Township,Simple Road,2026-03-01,17
SEG-005,Lahore,Township,Simple Road,2026-04-01,17
SEG-005,Lahore,Township,Simple Road,2026-05-01,19
SEG-005,Lahore,Township,Simple Road,2026-06-01,20
